DGRP Line,Transvection
line_757,34.89123991
line_884,39.12634632
line_101,45.71188425
line_357,46.21968005
line_26,46.8191966
line_406,46.82721275
line_309,47.47463573
line_837,47.48714041
line_721,48.11350834
line_31,48.75032255
line_776,49.20174704
line_857,49.44685967
line_195,49.70393838
line_822,49.87020277
line_530,50.34265771
line_502,50.52662586
line_88,51.03901419
line_59,51.53008254
line_853,52.21508009
line_405,52.31069302
line_386,52.63958536
line_783,52.90889441
line_859,52.9630452
line_399,53.45633094
line_93,53.53203595
line_189,53.60627008
line_535,54.61538462
line_559,54.69384105
line_796,54.81769083
line_861,56.52873129
line_142,56.99074596
line_85,57.03225919
line_21,57.27923047
line_136,57.36016705
line_517,57.51327329
line_774,57.77201517
line_149,57.9762973
line_630,58.14981428
line_361,59.1703141
line_69,59.37432068
line_849,59.51257088
line_786,59.70425877
line_358,59.92626899
line_350,60.31039418
line_153,60.56305122
line_379,60.73438703
line_75,60.74498713
line_38,60.80597567
line_441,61.45334783
line_370,61.52387403
line_380,62.16605348
line_390,62.81106399
line_32,62.96471151
line_336,63.21858299
line_318,63.27878083
line_491,63.33894164
line_426,63.44608181
line_563,63.46493138
line_228,63.4687775
line_440,63.52069796
line_306,64.0741814
line_427,64.18691085
line_359,64.21649274
line_820,64.49960751
line_287,64.54921414
line_584,64.61724467
line_703,65.11566243
line_879,65.25262017
line_391,65.4717646
line_850,65.6496281
line_310,65.83666428
line_802,66.23495547
line_748,66.40062547
line_317,66.40591811
line_40,66.66938249
line_818,66.6759738
line_237,66.80670975
line_129,66.90344671
line_808,66.92038451
line_109,66.96300374
line_100,67.01104822
line_531,67.19048257
line_91,67.32616823
line_716,67.32801235
line_897,67.76141957
line_907,67.84739739
line_181,67.85254588
line_810,67.94052109
line_908,68.23852221
line_105,68.31510064
line_819,68.58984897
line_765,69.03257285
line_738,69.28832259
line_712,69.52795301
line_383,69.54283039
line_373,69.87077376
line_83,70.44457751
line_737,70.70128882
line_375,71.97991235
line_360,72.203434
line_732,72.29489543
line_313,72.37282175
line_319,72.84086743
line_324,73.26908127
line_855,73.30321171
line_437,73.57069703
line_799,73.8101287
line_443,73.91031806
line_239,74.06941534
line_395,74.08056335
line_374,74.26498644
line_486,74.48986542
line_315,74.60108627
line_57,75.37858757
line_307,75.42682767
line_335,75.48469055
line_320,76.01129371
line_45,76.24074618
line_280,76.83797558
line_911,77.25139103
line_397,77.42954747
line_235,77.45995677
line_303,78.16789105
line_208,78.34649107
line_362,78.86700101
line_304,79.08769535
line_338,79.20472745
line_894,79.38759911
line_365,80.10131246
line_790,80.51711779
line_890,80.55221999
line_392,81.08271152
line_707,82.40133856
line_217,82.44807917
line_551,83.55352643
line_852,83.73879012
line_28,86.57573522
line_439,86.69579516
line_301,87.34505088
line_882,88.177097
line_843,88.26222415
line_385,89.49690618
line_714,89.58845575
line_900,90.14247659
line_705,90.3101679
line_528,92.46871155
line_367,94.12425818
line_639,96.10139507
line_555,97.96783743
line_730,99.83518341
